id,escolas_postos,bairro,endereco,lat,lon,logradouro,numero_end,tipo_escola,subprefeitura,quantidade
140,ESCOLA MUNICIPAL PEDRO LESSA,BONSUCESSO,RUA ADAIL 49,"-22,86047","-43,25428",RUA ADAIL,49,EM,ZONA NORTE,153
260,ESCOLA MUNICIPAL PROFESSOR JOSUE DE CASTRO,BONSUCESSO,AVENIDA BRASIL 4040 RUA DA VITORIA,"-22,873739","-43,240712",AVENIDA BRASIL  RUA DA VITORIA,4040,EM,ZONA NORTE,397
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,876082","-43,343369",RUA AGOSTINHO BARBALHO,401,EM,ZONA NORTE,468
090,ESCOLA MUNICIPAL THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR S/No,"-22,81631","-43,340149",AVENIDA PASTOR MARTIN LUTHER KING JR,S/N,EM,ZONA NORTE,67
274,ESCOLA MUNICIPAL ABEILARD FEIJÓ,CACUIA,ESTRADA DA CACUIA 1386,"-22,807692","-43,181558",ESTRADA DA CACUIA,1386,EM,ILHAS,561
676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,JARDIM GUANABARA,RUA SERENATA 40,"-22,812441","-43,209658",RUA SERENATA,40,EM,ILHAS,180
390,ESCOLA MUNICIPAL ANDREA FONTES PEIXOTO,PARQUE COLUMBIA,RUA FAUSTO E CASTRO S/No,"-22,81631","-43,340149",RUA FAUSTO E CASTRO,S/N,EM,ZONA NORTE,257
608,ESCOLA MUNICIPAL GRANDJEAN DE MONTIGNY,PAVUNA,PRACA DOS UCRANIANOS S/No,"-22,81389","-43,373926",PRACA DOS UCRANIANOS,S/N,EM,ZONA NORTE,260
589,ESCOLA MUNICIPAL MARIO PIRAGIBE,ANCHIETA,PRACA NOSSA SENHORA DAS DORES S/No,"-22,825581","-43,392076",PRACA NOSSA SENHORA DAS DORES,S/N,EM,ZONA NORTE,317
256,ESCOLA MUNICIPAL PARAIBA,ANCHIETA,ESTRADA MARECHAL ALENCASTRO 4.035,"-22,826363","-43,402883",ESTRADA MARECHAL ALENCASTRO .,4,EM,ZONA NORTE,345
090,ESCOLA MUNICIPAL THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR S/No,"-22,81631","-43,340149",AVENIDA PASTOR MARTIN LUTHER KING JR,S/N,EM,ZONA NORTE,67
248,ESCOLA MUNICIPAL ASPIRANTE CARLOS ALFREDO,TURIACU,RUA IBIA 105,"-22,860846","-43,34455",RUA IBIA,105,EM,ZONA NORTE,513
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,876082","-43,343369",RUA AGOSTINHO BARBALHO,401,EM,ZONA NORTE,468
623,ESCOLA MUNICIPAL CECILIA MEIRELES,VILA KOSMOS,RUA SD. SERVINO MENGARDA 260,"-22,84944","-43,303787",RUA SD. SERVINO MENGARDA,260,EM,ZONA NORTE,416
603,ESCOLA MUNICIPAL ESPÍRITO SANTO,CAVALCANTI,RUA HERCULANO PENA S/N,"-22,874299","-43,314719",RUA HERCULANO PENA S/N,S/N,EM,ZONA NORTE,352
673,ESCOLA MUNICIPAL GRECIA,VILA DA PENHA,AVENIDA BRAZ DE PINA 1614,"-22,83783","-43,312536",AVENIDA BRAZ DE PINA,1614,EM,ZONA NORTE,393
089,ESCOLA MUNICIPAL MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO 148,"-22,917233","-43,211044",RUA HADDOCK LOBO,148,EM,CENTRO,473
520,ESCOLA MUNICIPAL BARONESA DE SAAVEDRA,REALENGO,RUA MAL. BIBIANO COSTALAT 483-639,"-22,87185","-43,432432",RUA MAL. BIBIANO COSTALAT -,483,EM,GRANDE BANGU,136
412,ESCOLA MUNICIPAL MOZART LAGO,OSWALDO CRUZ,RUA JOSE CARVALHO SALGADO S/N.o,"-22,872211","-43,350334",RUA JOSE CARVALHO SALGADO S/N.o,S/N,EM,ZONA NORTE,395
031,ESCOLA MUNICIPAL PARA,ROCHA MIRANDA,AVENIDA DOS ITALIANOS 500,"-22,851963","-43,34949",AVENIDA DOS ITALIANOS,500,EM,ZONA NORTE,115
514,ESCOLA MUNICIPAL PARANÁ,CASCADURA,AVENIDA ERNANI CARDOSO 316,"-22,882408","-43,338111",AVENIDA ERNANI CARDOSO,316,EM,ZONA NORTE,534
023,ESCOLA MUNICIPAL CERVANTES,BENTO RIBEIRO,RUA ABILIO DOS SANTOS 170,"-22,86459","-43,365952",RUA ABILIO DOS SANTOS,170,EM,ZONA NORTE,342
415,ESCOLA MUNICIPAL LUIZ DE CAMÕES,COLEGIO,ESTRADA LUIZDE CAMOES 1446,"-22,846044","-43,338668",ESTRADA LUIZDE CAMOES,1446,EM,ZONA NORTE,152
016,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA JOÃO BATISTA DOS SANTOS,CIDADE DE DEUS,RUA EDGAR WERNECK 1.565,"-22,947106","-43,359739",RUA EDGAR WERNECK .,1,CIEP,JACAREPAGUÁ,430
570,ESCOLA MUNICIPAL HELENA LOPES ABRANCHES,GARDENIA AZUL,RUA ACAPORI 495,"-22,96072","-43,353437",RUA ACAPORI,495,EM,JACAREPAGUÁ,466
528,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA MARGARET MEE,RECREIO DOS BANDEIRANTES,RUA MINISTRO ALIOMAR BALEEIRO S/No,"-23,019811","-43,481721",RUA MINISTRO ALIOMAR BALEEIRO,S/N,CIEP,BARRA DA TIJUCA,51
414,ESCOLA MUNICIPAL CLAUDIO BESSERMAN VIANNA - BUSSUNDA,JACAREPAGUA,ESTRADA DE JACAREPAGUA 3327,"-22,973355","-43,329156",ESTRADA DE JACAREPAGUA,3327,EM,JACAREPAGUÁ,26
